X,Y,ID,
-2.45094553748324,54.2106407526474,,
-2.45326842181031,54.20665859515,,
-2.46804430336495,54.19293012195,,
-2.45530941638187,54.2062102934163,,
-2.45524774881009,54.2062498828005,,
-2.45521921272267,54.2062670477098,,
-2.45525781590701,54.206250209243,,
-2.45526843259795,54.2062809356051,,
-2.45526135223601,54.2062609884483,,
-2.45541296050349,54.2063260193982,,
-2.4553624696191,54.2064879738615,,
-2.45539816305289,54.2066113414437,,
-2.45542130302586,54.2066422564298,,
-2.45543349438526,54.206655454752,,
-2.476606848932,54.1873160348863,,
-2.46323431439699,54.2002529998336,,
-2.46392387140803,54.1993626687196,,
-2.46377045488043,54.1996743953062,,
-2.46448784319954,54.1986388832103,,
-2.46441456774987,54.1980145596765,,
-2.4644981761482,54.1977381908141,,
-2.46605332043395,54.1969339291053,,
-2.46563848701927,54.1970057376775,,
-2.4650502838176,54.19713899132,,
-2.4650354063624,54.1971777806262,,
-2.46458948029729,54.1969726176775,,
-2.46460357928754,54.1972935347229,,
-2.46485468683194,54.1972968286811,,
-2.46495402663552,54.1972629904031,,
-2.46422540560212,54.1971145420607,,
-2.46413563759259,54.1972012306422,,
-2.45255956231407,54.2062995709844,,
-2.47288300701817,54.1855517983952,,
-2.46257070824792,54.2003695262493,,
-2.46273824395059,54.2003161551687,,
-2.47302689505031,54.1885533302351,,
-2.4745485139391,54.1879223460831,,
-2.45800725983659,54.2035258067,,
-2.4624864151641,54.1996405753634,,
-2.46240554952305,54.1997016630635,,
-2.46239648192736,54.1996695543502,,
-2.46316574843814,54.199301054618,,
-2.46337740163851,54.199726619723,,
-2.46319811658811,54.1992368794504,,
-2.46227830266338,54.1996368861,,
-2.4647674358488,54.1949975605158,,
-2.46399876697905,54.1941715415694,,
-2.46374656075094,54.1941003882986,,
-2.46418979618456,54.1945241582316,,
-2.4642954472812,54.1946874922373,,
-2.4641577584495,54.1948409143061,,
-2.4642162133982,54.1941853509075,,
-2.46377010496305,54.1939623394203,,
-2.46378914,54.19396996,,
-2.46568231575157,54.1910346451501,,
-2.46484759724387,54.1913465305463,,
-2.46219319254745,54.1959992324567,,
-2.46238364904835,54.1961225200708,,
-2.46226693144075,54.1960755590385,,
-2.46292874318509,54.1957248099737,,
-2.46264267577437,54.1959769809628,,
-2.46459212824801,54.1953403080438,,
-2.46337472006096,54.1958789781521,,
-2.46351609846519,54.1964028019319,,
-2.46609303199772,54.1950420360708,,
-2.46571255918538,54.1951677005555,,
-2.46522719102074,54.1954076695005,,
-2.46444623647647,54.1930879541491,,
-2.46419153533137,54.1923167194376,,
-2.46528069995999,54.1920572324512,,
-2.46526983279354,54.19210647645,,
-2.46505502437604,54.1914235654919,,
-2.46520071495403,54.1919468270796,,
-2.46507469034758,54.1914354162563,,
-2.46448304942763,54.1919324288518,,
-2.46348377003999,54.1918406606632,,
-2.46295328255255,54.1916045055507,,
-2.46514749470054,54.1905499000237,,
-2.46429772276297,54.1906721204009,,
