site_name,longitude,latitude,ngr,group,order,family,subfamily,tribe,species,ref,input_by,id,habitat,zone,cat,area,lgm,collector,notes,references
British Iron Mine,-2.6116004,51.776275,SO57900880,Insecta:Collembola,Poduromorpha,Onychiuridae,,,Deuteraphorura cebennaria,BR9:15,Graham S. Proudlove,0,Terrestrial habitat,DZ,Eutroglophile,Mine (various types),,"Collins, MDH",,
Bourne Spring at Cheddington,-0.66171106,51.839488,SP92301650,Turbellaria:Tricladida,,,,,Polycelis felina,BR11:157,Graham S. Proudlove,0,Aquatic habitat,Th,Eutroglophile,Spring,,"Glennie, EA",,
Reads Cave,-2.7645502,51.322564,ST46825844,Insecta:Collembola,Poduromorpha,Onychiuridae,,,Deuteraphorura cebennaria,BR10:223,Graham S. Proudlove,0,Terrestrial habitat,DZ,Eutroglophile,Cave Mendip Hills,,"Moseley, CM",,
Sir Francis Level,-2.0954599,54.397234,NY93900020,Insecta:Collembola,Entomobryomorpha,Tomoceridae,,,Tomocerus minor,BR8:39,Graham S. Proudlove,0,Terrestrial habitat,DZ,Eutroglophile,Mine (various types),NLGM,"Shevelan, J",,
Sidcot Swallet,-2.7541951,51.321193,ST47545828,Insecta:Coleoptera,Polyphaga,Staphylinidae,Staphylininae,Staphylinini,Quedius mesomelinus,BR1:1,Graham S. Proudlove,1,Terrestrial habitat,Th,Eutroglophile,Cave Mendip Hills,,"Glennie, EA",,
Sidcot Swallet,-2.7541951,51.321193,ST47545828,Insecta:Coleoptera,Polyphaga,Staphylinidae,Staphylininae,Staphylinini,Quedius mesomelinus,BR1:1,Graham S. Proudlove,2,Terrestrial habitat,DZ,Eutroglophile,Cave Mendip Hills,,"Glennie, EA",,
Sidcot Swallet,-2.7541951,51.321193,ST47545828,Insecta:Coleoptera,Polyphaga,Staphylinidae,Staphylininae,Staphylinini,Quedius mesomelinus,BR1:1,Graham S. Proudlove,3,Terrestrial habitat,Th,Eutroglophile,Cave Mendip Hills,,"Glennie, EA",,
Bagshawe Cavern,-1.7432333,53.324745,SK17208090,Insecta:Coleoptera,Polyphaga,Staphylinidae,Oxytelinae,Thinobiini,Ochthephilus aureus,BR1:1,Graham S. Proudlove,4,Terrestrial habitat,DZ,Eutroglophile,Cave Peak District,,"Glennie, EA",,
Bagshawe Cavern,-1.7432333,53.324745,SK17208090,Insecta:Coleoptera,Polyphaga,Staphylinidae,Omaliinae,Anthophagini,Lesteva pubescens,BR1:1,Graham S. Proudlove,5,Terrestrial habitat,DZ,Eutroglophile,Cave Peak District,,"Glennie, EA",,
Goatchurch Cavern,-2.7536123,51.320657,ST47585822,Insecta:Coleoptera,Polyphaga,Leiodidae,Platypsyllinae,,Leptinus testaceus,BR1:1,Graham S. Proudlove,6,Terrestrial habitat,DZ,Trogloxene,Cave Mendip Hills,,"Glennie, EA",,
Sidcot Swallet,-2.7541951,51.321193,ST47545828,Insecta:Coleoptera,Polyphaga,Cryptophagidae,,,Cryptophagus setulosus,BR1:1,Graham S. Proudlove,7,Terrestrial habitat,Th,Trogloxene,Cave Mendip Hills,,"Glennie, EA",,
Sidcot Swallet,-2.7541951,51.321193,ST47545828,Insecta:Diptera,,Sphaeroceridae,Limosininae,,Herniosina bequaerti,BR1:1,Graham S. Proudlove,8,Terrestrial habitat,Th,Eutroglophile,Cave Mendip Hills,,"Glennie, EA",,
Lamb Leer Cavern,-2.656495,51.292828,ST54325506,Insecta:Diptera,,Sphaeroceridae,Limosininae,,Herniosina bequaerti,BR1:2,Graham S. Proudlove,9,Terrestrial habitat,DZ,Eutroglophile,Cave Mendip Hills,,"Glennie, EA",,
Swildons Hole,-2.6732101,51.259013,ST53125131,Insecta:Diptera,,Sphaeroceridae,Limosininae,,Terrilimosina racovitzai,BR1:2,Graham S. Proudlove,10,Terrestrial habitat,DZ,Eutroglophile,Cave Mendip Hills,,"Glennie, EA",,
Great Oones Hole,-2.7641618,51.281923,ST46805392,Insecta:Diptera,,Sphaeroceridae,Limosininae,,Terrilimosina racovitzai,BR1:2,Graham S. Proudlove,11,Terrestrial habitat,DZ,Eutroglophile,Cave Mendip Hills,,"Glennie, EA",,
Sidcot Swallet,-2.7541951,51.321193,ST47545828,Insecta:Diptera,,Sphaeroceridae,Limosininae,,Leptocera caenosa,BR1:2,Graham S. Proudlove,12,Terrestrial habitat,Th,Trogloxene,Cave Mendip Hills,,"Glennie, EA",,
Sidcot Swallet,-2.7541951,51.321193,ST47545828,Insecta:Diptera,,Phoridae,,,Triphleba distinguenda,BR1:2,Graham S. Proudlove,13,Terrestrial habitat,Th,Trogloxene,Cave Mendip Hills,,"Glennie, EA",,
Goatchurch Cavern,-2.7536123,51.320657,ST47585822,Insecta:Diptera,,Phoridae,,,Triphleba distinguenda,BR1:2,Graham S. Proudlove,14,Terrestrial habitat,DZ,Trogloxene,Cave Mendip Hills,,"Glennie, EA",,
Lamb Leer Cavern,-2.656495,51.292828,ST54325506,Insecta:Diptera,,Trichoceridae,,,Trichocera maculipennis,BR1:2,Graham S. Proudlove,15,Terrestrial habitat,DZ,Eutroglophile,Cave Mendip Hills,,"Glennie, EA",,
Eastwater Cavern,-2.6622304,51.252871,ST53885062,Insecta:Diptera,,Trichoceridae,,,Trichocera maculipennis,BR1:2,Graham S. Proudlove,16,Terrestrial habitat,DZ,Eutroglophile,Cave Mendip Hills,,"Glennie, EA",,
Bagshawe Cavern,-1.7432333,53.324745,SK17208090,Insecta:Diptera,,Sciaridae,,,Sciara sp.,BR1:2,Graham S. Proudlove,17,Terrestrial habitat,ng,Eutroglophile,Cave Peak District,,"Glennie, EA",,
Marble Steps Pot,-2.4918854,54.188663,SD68007710,Insecta:Diptera,,Sciaridae,,,Sciara sp.,BR1:2,Graham S. Proudlove,18,Terrestrial habitat,DZ,Eutroglophile,Cave Yorkshire Dales,NLGM,"Glennie, EA",,
Bagshawe Cavern,-1.7432333,53.324745,SK17208090,Insecta:Diptera,,Sciaridae,,,Sciara sp.,BR1:2,Graham S. Proudlove,19,Terrestrial habitat,DZ,Eutroglophile,Cave Peak District,,"Glennie, EA",,
Sidcot Swallet,-2.7541951,51.321193,ST47545828,Insecta:Collembola,Entomobryomorpha,Tomoceridae,,,Pogonognathellus longicornis,BR1:3,Graham S. Proudlove,20,Terrestrial habitat,Th,Eutroglophile,Cave Mendip Hills,,"Glennie, EA",,
Sidcot Swallet,-2.7541951,51.321193,ST47545828,Insecta:Collembola,Entomobryomorpha,Entomobryidae,,,Lepidocyrtus curvicollis,BR1:3,Graham S. Proudlove,21,Terrestrial habitat,Th,Eutroglophile,Cave Mendip Hills,,"Glennie, EA",,
Goatchurch Cavern,-2.7536123,51.320657,ST47585822,Insecta:Collembola,Entomobryomorpha,Entomobryidae,,,Lepidocyrtus curvicollis,BR1:3,Graham S. Proudlove,22,Terrestrial habitat,DZ,Eutroglophile,Cave Mendip Hills,,"Glennie, EA",,
Wookey Hole,-2.6730489,51.228351,ST53104790,Insecta:Collembola,Entomobryomorpha,Entomobryidae,,,Lepidocyrtus curvicollis,BR1:3,Graham S. Proudlove,23,Terrestrial habitat,DZ,Eutroglophile,Cave Mendip Hills,,"Glennie, EA",,
Sidcot Swallet,-2.7541951,51.321193,ST47545828,Insecta:Collembola,Entomobryomorpha,Tomoceridae,,,Tomocerus minor,BR1:3,Graham S. Proudlove,24,Terrestrial habitat,Th,Eutroglophile,Cave Mendip Hills,,"Glennie, EA",,
Goatchurch Cavern,-2.7536123,51.320657,ST47585822,Insecta:Collembola,Entomobryomorpha,Tomoceridae,,,Tomocerus minor,BR1:3,Graham S. Proudlove,25,Terrestrial habitat,DZ,Eutroglophile,Cave Mendip Hills,,"Glennie, EA",,
Swildons Hole,-2.6732101,51.259013,ST53125131,Insecta:Collembola,Entomobryomorpha,Tomoceridae,,,Tomocerus minor,BR1:3,Graham S. Proudlove,26,Terrestrial habitat,DZ,Eutroglophile,Cave Mendip Hills,,"Glennie, EA",,
Sidcot Swallet,-2.7541951,51.321193,ST47545828,Insecta:Collembola,Entomobryomorpha,Entomobryidae,,,Heteromurus nitidus,BR1:3,Graham S. Proudlove,27,Terrestrial habitat,Th,Eutroglophile,Cave Mendip Hills,,"Glennie, EA",,
Goatchurch Cavern,-2.7536123,51.320657,ST47585822,Insecta:Collembola,Entomobryomorpha,Entomobryidae,,,Heteromurus nitidus,BR1:3,Graham S. Proudlove,28,Terrestrial habitat,DZ,Eutroglophile,Cave Mendip Hills,,"Glennie, EA",,
Swildons Hole,-2.6732101,51.259013,ST53125131,Insecta:Collembola,Entomobryomorpha,Entomobryidae,,,Heteromurus nitidus,BR1:3,Graham S. Proudlove,29,Terrestrial habitat,DZ,Eutroglophile,Cave Mendip Hills,,"Glennie, EA",,
Fairy Cave Stoke St Michael,-2.4926,51.228351,ST65704780,Insecta:Collembola,Entomobryomorpha,Entomobryidae,,,Heteromurus nitidus,BR1:3,Graham S. Proudlove,30,Terrestrial habitat,Th,Eutroglophile,Cave Mendip Hills,,"Glennie, EA",,
Jug Holes,-1.5834061,53.132741,SK27975959,Insecta:Collembola,Entomobryomorpha,Entomobryidae,,,Heteromurus nitidus,BR1:3,Graham S. Proudlove,31,Terrestrial habitat,DZ,Eutroglophile,Cave Peak District,,"Glennie, EA",,
Bagshawe Cavern,-1.7432333,53.324745,SK17208090,Insecta:Collembola,Entomobryomorpha,Entomobryidae,,,Heteromurus nitidus,BR1:4,Graham S. Proudlove,32,Terrestrial habitat,DZ,Eutroglophile,Cave Peak District,,"Glennie, EA",,
Sidcot Swallet,-2.7541951,51.321193,ST47545828,Insecta:Collembola,Poduromorpha,Neanuridae,,,Anurida granaria,BR1:4,Graham S. Proudlove,33,Terrestrial habitat,Th,Eutroglophile,Cave Mendip Hills,,"Glennie, EA",,
Wookey Hole,-2.6730489,51.228351,ST53104790,Insecta:Collembola,Poduromorpha,Neanuridae,,,Anurida granaria,BR1:4,Graham S. Proudlove,34,Terrestrial habitat,DZ,Eutroglophile,Cave Mendip Hills,,"Glennie, EA",,
Fairy Cave Stoke St Michael,-2.4926,51.228351,ST65704780,Insecta:Collembola,Poduromorpha,Neanuridae,,,Anurida granaria,BR1:4,Graham S. Proudlove,35,Terrestrial habitat,Th,Eutroglophile,Cave Mendip Hills,,"Glennie, EA",,
Goatchurch Cavern,-2.7536123,51.320657,ST47585822,Insecta:Collembola,Poduromorpha,Onychiuridae,,,Deuteraphorura cebennaria,BR1:4,Graham S. Proudlove,36,Terrestrial habitat,DZ,Eutroglophile,Cave Mendip Hills,,"Glennie, EA",,
Fairy Cave Stoke St Michael,-2.4926,51.228351,ST65704780,Insecta:Collembola,Poduromorpha,Onychiuridae,,,Deuteraphorura cebennaria,BR1:4,Graham S. Proudlove,37,Terrestrial habitat,Th,Eutroglophile,Cave Mendip Hills,,"Glennie, EA",,
Lamb Leer Cavern,-2.656495,51.292828,ST54325506,Insecta:Collembola,Poduromorpha,Onychiuridae,,,Deuteraphorura cebennaria,BR1:4,Graham S. Proudlove,38,Terrestrial habitat,DZ,Eutroglophile,Cave Mendip Hills,,"Glennie, EA",,
Jug Holes,-1.5834061,53.132741,SK27975959,Insecta:Collembola,Poduromorpha,Onychiuridae,,,Deuteraphorura cebennaria,BR1:4,Graham S. Proudlove,39,Terrestrial habitat,DZ,Eutroglophile,Cave Peak District,,"Glennie, EA",,
Bagshawe Cavern,-1.7432333,53.324745,SK17208090,Insecta:Collembola,Poduromorpha,Onychiuridae,,,Deuteraphorura cebennaria,BR1:4,Graham S. Proudlove,40,Terrestrial habitat,DZ,Eutroglophile,Cave Peak District,,"Glennie, EA",,
Blue John Caverns,-1.803191,53.345533,SK13208320,Insecta:Collembola,Poduromorpha,Onychiuridae,,,Deuteraphorura cebennaria,BR1:4,Graham S. Proudlove,41,Terrestrial habitat,DZ,Eutroglophile,Cave Peak District,,"Glennie, EA",,
Treakcliffe Cavern,-1.7971828,53.345523,SK13608320,Insecta:Collembola,Poduromorpha,Onychiuridae,,,Deuteraphorura cebennaria,BR1:4,Graham S. Proudlove,42,Terrestrial habitat,DZ,Eutroglophile,Cave Peak District,,"Glennie, EA",,
Goatchurch Cavern,-2.7536123,51.320657,ST47585822,Insecta:Collembola,Poduromorpha,Onychiuridae,,,Onychiurus ambulans,BR1:4,Graham S. Proudlove,43,Terrestrial habitat,DZ,Eutroglophile,Cave Mendip Hills,,"Glennie, EA",,
Bagshawe Cavern,-1.7432333,53.324745,SK17208090,Insecta:Collembola,Poduromorpha,Onychiuridae,,,Onychiurus ambulans,BR1:5,Graham S. Proudlove,44,Terrestrial habitat,DZ,Eutroglophile,Cave Peak District,,"Glennie, EA",,
Blue John Caverns,-1.803191,53.345533,SK13208320,Insecta:Collembola,Poduromorpha,Onychiuridae,,,Onychiurus ambulans,BR1:5,Graham S. Proudlove,45,Terrestrial habitat,DZ,Eutroglophile,Cave Peak District,,"Glennie, EA",,
Bagshawe Cavern,-1.7432333,53.324745,SK17208090,Insecta:Collembola,Entomobryomorpha,Isotomidae,,,Folsomia fimetaria,BR1:5,Graham S. Proudlove,46,Terrestrial habitat,DZ,Eutroglophile,Cave Peak District,,"Glennie, EA",,
Treakcliffe Cavern,-1.7971828,53.345523,SK13608320,Insecta:Collembola,Entomobryomorpha,Isotomidae,,,Folsomia fimetaria,BR1:5,Graham S. Proudlove,47,Terrestrial habitat,DZ,Eutroglophile,Cave Peak District,,"Glennie, EA",,
Blue John Caverns,-1.803191,53.345533,SK13208320,Insecta:Collembola,Entomobryomorpha,Entomobryidae,,,Lepidocyrtus albus,BR1:5,Graham S. Proudlove,48,Terrestrial habitat,DZ,Eutroglophile,Cave Peak District,,"Glennie, EA",,
Lamb Leer Cavern,-2.656495,51.292828,ST54325506,Insecta:Collembola,Poduromorpha,Hypogastruridae,,,Ceratophysella denticulata,BR1:5,Graham S. Proudlove,49,Terrestrial habitat,DZ,Eutroglophile,Cave Mendip Hills,,"Glennie, EA",,
Lamb Leer Cavern,-2.656495,51.292828,ST54325506,Insecta:Collembola,Symphypleona,Arrhopalitidae,,,Arrhopalites caecus,BR1:5,Graham S. Proudlove,50,Terrestrial habitat,DZ,Eutroglophile,Cave Mendip Hills,,"Glennie, EA",,
Great Oones Hole,-2.7641618,51.281923,ST46805392,Insecta:Collembola,Entomobryomorpha,Entomobryidae,,,Pseudosinella boneti,BR1:5,Graham S. Proudlove,51,Terrestrial habitat,DZ,Eutroglophile,Cave Mendip Hills,,"Glennie, EA",,
Bagshawe Cavern,-1.7432333,53.324745,SK17208090,Arachnida:Acari,Mesostigmata,Parasitidae,,,Eugamasus berlesei,BR1:5,Graham S. Proudlove,52,Terrestrial habitat,DZ,Eutroglophile,Cave Peak District,,"Glennie, EA",Fauna Europaea 2.4,
Sidcot Swallet,-2.7541951,51.321193,ST47545828,Arachnida:Acari,Mesostigmata,Parasitidae,,,Eugamasus magnus,BR1:5,Graham S. Proudlove,53,Terrestrial habitat,Th,Eutroglophile,Cave Mendip Hills,,"Glennie, EA",Fauna Europaea 2.4,
Goatchurch Cavern,-2.7536123,51.320657,ST47585822,Arachnida:Acari,Mesostigmata,Parasitidae,,,Eugamasus magnus,BR1:5,Graham S. Proudlove,54,Terrestrial habitat,DZ,Eutroglophile,Cave Mendip Hills,,"Glennie, EA",Fauna Europaea 2.4,
Swildons Hole,-2.6732101,51.259013,ST53125131,Arachnida:Acari,Mesostigmata,Parasitidae,,,Eugamasus magnus,BR1:6,Graham S. Proudlove,55,Terrestrial habitat,DZ,Eutroglophile,Cave Mendip Hills,,"Glennie, EA",Fauna Europaea 2.4,
Great Oones Hole,-2.7641618,51.281923,ST46805392,Arachnida:Acari,Mesostigmata,Parasitidae,,,Eugamasus magnus,BR1:6,Graham S. Proudlove,56,Terrestrial habitat,DZ,Eutroglophile,Cave Mendip Hills,,"Glennie, EA",Fauna Europaea 2.4,
Jug Holes,-1.5834061,53.132741,SK27975959,Arachnida:Acari,Mesostigmata,Parasitidae,,,Eugamasus magnus,BR1:6,Graham S. Proudlove,57,Terrestrial habitat,DZ,Eutroglophile,Cave Peak District,,"Glennie, EA",Fauna Europaea 2.4,
Bagshawe Cavern,-1.7432333,53.324745,SK17208090,Arachnida:Acari,Mesostigmata,Parasitidae,,,Eugamasus magnus,BR1:6,Graham S. Proudlove,58,Terrestrial habitat,DZ,Eutroglophile,Cave Peak District,,"Glennie, EA",Fauna Europaea 2.4,
Treakcliffe Cavern,-1.7971828,53.345523,SK13608320,Turbellaria:Tricladida,,,,,Crenobia alpina,BR1:6,Graham S. Proudlove,59,Aquatic habitat,DZ,Eutroglophile,Cave Peak District,,"Glennie, EA",,
Fairy Cave Stoke St Michael,-2.4926,51.228351,ST65704780,Turbellaria:Tricladida,,,,,Phagocata vitta,BR1:6,Graham S. Proudlove,60,Aquatic habitat,Th,Eutroglophile,Cave Mendip Hills,,"Glennie, EA",,
Swildons Hole,-2.6732101,51.259013,ST53125131,Annelida:Oligochaeta,,Tubificidae,,,Tubifex tubifex,BR1:6,Graham S. Proudlove,61,Aquatic habitat,DZ,EUT,Cave Mendip Hills,,"Glennie, EA",,
Sidcot Swallet,-2.7541951,51.321193,ST47545828,Mollusca:Gastropoda,Pulmonata,Patulidae,,,Discus rotundatus,BR1:6,Graham S. Proudlove,62,Terrestrial habitat,Th,Eutroglophile,Cave Mendip Hills,,"Glennie, EA",,
Sidcot Swallet,-2.7541951,51.321193,ST47545828,Mollusca:Gastropoda,Pulmonata,Oxychilidae,,,Oxychilus cellarius,BR1:6,Graham S. Proudlove,63,Terrestrial habitat,Th,Trogloxene,Cave Mendip Hills,,"Glennie, EA",,
Sidcot Swallet,-2.7541951,51.321193,ST47545828,Mollusca:Gastropoda,Pulmonata,Pristilomatidae,,,Vitrea crystallina,BR1:6,Graham S. Proudlove,64,Terrestrial habitat,Th,Trogloxene,Cave Mendip Hills,,"Glennie, EA",,
Sidcot Swallet,-2.7541951,51.321193,ST47545828,Myriapoda:Diplopoda,,Polydesmidae,,,Brachydesmus superus,BR1:6,Graham S. Proudlove,65,Terrestrial habitat,Th,Eutroglophile,Cave Mendip Hills,,"Glennie, EA",,
Wookey Hole,-2.6730489,51.228351,ST53104790,Myriapoda:Diplopoda,,Polydesmidae,,,Brachydesmus superus,BR1:6,Graham S. Proudlove,66,Terrestrial habitat,DZ,Eutroglophile,Cave Mendip Hills,,"Glennie, EA",,
Great Oones Hole,-2.7641618,51.281923,ST46805392,Myriapoda:Diplopoda,,Polydesmidae,,,Brachydesmus superus,BR1:7,Graham S. Proudlove,67,Terrestrial habitat,DZ,Eutroglophile,Cave Mendip Hills,,"Glennie, EA",,
Bagshawe Cavern,-1.7432333,53.324745,SK17208090,Myriapoda:Diplopoda,,Polydesmidae,,,Brachydesmus superus,BR1:7,Graham S. Proudlove,68,Terrestrial habitat,DZ,Eutroglophile,Cave Peak District,,"Glennie, EA",,
Sidcot Swallet,-2.7541951,51.321193,ST47545828,Myriapoda:Diplopoda,,Glomeridae,,,Glomeris marginata,BR1:7,Graham S. Proudlove,69,Terrestrial habitat,Th,Trogloxene,Cave Mendip Hills,,"Glennie, EA",,
Sidcot Swallet,-2.7541951,51.321193,ST47545828,Myriapoda:Diplopoda,,Craspedosomatidae,,,Nanogona polydesmoides,BR1:7,Graham S. Proudlove,70,Terrestrial habitat,Th,Eutroglophile,Cave Mendip Hills,,"Glennie, EA",,
Wookey Hole,-2.6730489,51.228351,ST53104790,Myriapoda:Diplopoda,,Craspedosomatidae,,,Nanogona polydesmoides,BR1:7,Graham S. Proudlove,71,Terrestrial habitat,DZ,Eutroglophile,Cave Mendip Hills,,"Glennie, EA",,
Swildons Hole,-2.6732101,51.259013,ST53125131,Myriapoda:Diplopoda,,Craspedosomatidae,,,Nanogona polydesmoides,BR1:7,Graham S. Proudlove,72,Terrestrial habitat,DZ,Eutroglophile,Cave Mendip Hills,,"Glennie, EA",,
Great Oones Hole,-2.7641618,51.281923,ST46805392,Myriapoda:Diplopoda,,Craspedosomatidae,,,Nanogona polydesmoides,BR1:7,Graham S. Proudlove,73,Terrestrial habitat,DZ,Eutroglophile,Cave Mendip Hills,,"Glennie, EA",,
Fairy Cave Stoke St Michael,-2.4926,51.228351,ST65704780,Myriapoda:Diplopoda,,Craspedosomatidae,,,Nanogona polydesmoides,BR1:7,Graham S. Proudlove,74,Terrestrial habitat,Th,Eutroglophile,Cave Mendip Hills,,"Glennie, EA",,
Bagshawe Cavern,-1.7432333,53.324745,SK17208090,Myriapoda:Diplopoda,,Craspedosomatidae,,,Nanogona polydesmoides,BR1:7,Graham S. Proudlove,75,Terrestrial habitat,DZ,Eutroglophile,Cave Peak District,,"Glennie, EA",,
Blue John Caverns,-1.803191,53.345533,SK13208320,Myriapoda:Diplopoda,,Craspedosomatidae,,,Nanogona polydesmoides,BR1:7,Graham S. Proudlove,76,Terrestrial habitat,DZ,Eutroglophile,Cave Peak District,,"Glennie, EA",,
Sidcot Swallet,-2.7541951,51.321193,ST47545828,Myriapoda:Diplopoda,,Craspedosomatidae,,,Nanogona polydesmoides,BR1:7,Graham S. Proudlove,77,Terrestrial habitat,Th,Eutroglophile,Cave Mendip Hills,,"Glennie, EA",,
Swildons Hole,-2.6732101,51.259013,ST53125131,Crustacea:Copepoda,Cyclopoida,Cyclopidae,,,Megacyclops viridis,BR1:8,Graham S. Proudlove,78,Aquatic habitat,DZ,Eutroglophile,Cave Mendip Hills,,"Glennie, EA",,
Ingleborough Cave,-2.3779861,54.13425,SD75407100,Crustacea:Copepoda,Cyclopoida,Cyclopidae,,,Megacyclops viridis,BR1:8,Graham S. Proudlove,79,Aquatic habitat,DZ,Eutroglophile,Cave Yorkshire Dales,NLGM,"Glennie, EA",,
Marble Steps Pot,-2.4918854,54.188663,SD68007710,Crustacea:Copepoda,Cyclopoida,Cyclopidae,,,Megacyclops viridis,BR1:8,Graham S. Proudlove,80,Aquatic habitat,DZ,Eutroglophile,Cave Yorkshire Dales,NLGM,"Glennie, EA",,
Bagshawe Cavern,-1.7432333,53.324745,SK17208090,Crustacea:Copepoda,Cyclopoida,Cyclopidae,,,Megacyclops viridis,BR1:8,Graham S. Proudlove,81,Aquatic habitat,DZ,Eutroglophile,Cave Peak District,,"Glennie, EA",,
Swildons Hole,-2.6732101,51.259013,ST53125131,Crustacea:Copepoda,Cyclopoida,Cyclopidae,,,Eucyclops agilis,BR1:8,Graham S. Proudlove,82,Aquatic habitat,DZ,Eutroglophile,Cave Mendip Hills,,"Glennie, EA",,
Swildons Hole,-2.6732101,51.259013,ST53125131,Crustacea:Copepoda,Cyclopoida,Cyclopidae,,,Diacyclops bicuspidatus,BR1:8,Graham S. Proudlove,83,Aquatic habitat,DZ,Eutroglophile,Cave Mendip Hills,,"Glennie, EA",,
Swildons Hole,-2.6732101,51.259013,ST53125131,Crustacea:Copepoda,Cyclopoida,Cyclopidae,,,Paracyclops fimbriatus,BR1:8,Graham S. Proudlove,84,Aquatic habitat,DZ,Eutroglophile,Cave Mendip Hills,,"Glennie, EA",,
Bagshawe Cavern,-1.7432333,53.324745,SK17208090,Crustacea:Amphipoda,,Gammaridae,,,Gammarus pulex,BR1:8,Graham S. Proudlove,85,Aquatic habitat,DZ,Eutroglophile,Cave Peak District,,"Glennie, EA",,
Peak Cavern,-1.7776889,53.339196,SK14908250,Crustacea:Amphipoda,,Gammaridae,,,Gammarus pulex,BR1:8,Graham S. Proudlove,86,Aquatic habitat,DZ,Eutroglophile,Cave Peak District,,"Glennie, EA",,
Speedwell Cavern,-1.7923963,53.34138,SK13928274,Crustacea:Amphipoda,,Gammaridae,,,Gammarus pulex,BR1:8,Graham S. Proudlove,87,Aquatic habitat,DZ,Eutroglophile,Cave Peak District,,"Glennie, EA",,
Ingleborough Cave,-2.3779861,54.13425,SD75407100,Crustacea:Amphipoda,,Gammaridae,,,Gammarus pulex,BR1:8,Graham S. Proudlove,88,Aquatic habitat,DZ,Eutroglophile,Cave Yorkshire Dales,NLGM,"Glennie, EA",,
Marble Steps Pot,-2.4918854,54.188663,SD68007710,Crustacea:Amphipoda,,Gammaridae,,,Gammarus pulex,BR1:8,Graham S. Proudlove,89,Aquatic habitat,DZ,Eutroglophile,Cave Yorkshire Dales,NLGM,"Glennie, EA",,
Sidcot Swallet,-2.7541951,51.321193,ST47545828,Arachnida:Acari,Mesostigmata,Parasitidae,,,Eugamasus magnus,BR1:9,Graham S. Proudlove,90,Terrestrial habitat,Th,Eutroglophile,Cave Mendip Hills,,"Hazelton, M",Fauna Europaea 2.4,
Sidcot Swallet,-2.7541951,51.321193,ST47545828,Myriapoda:Diplopoda,,Polydesmidae,,,Brachydesmus superus,BR1:9,Graham S. Proudlove,91,Terrestrial habitat,Th,Eutroglophile,Cave Mendip Hills,,"Hazelton, M",,
Great Oones Hole,-2.7641618,51.281923,ST46805392,Myriapoda:Diplopoda,,Polydesmidae,,,Brachydesmus superus,BR1:9,Graham S. Proudlove,92,Terrestrial habitat,DZ,Eutroglophile,Cave Mendip Hills,,"Hazelton, M",,
Sidcot Swallet,-2.7541951,51.321193,ST47545828,Myriapoda:Diplopoda,,Craspedosomatidae,,,Nanogona polydesmoides,BR1:9,Graham S. Proudlove,93,Terrestrial habitat,Th,Eutroglophile,Cave Mendip Hills,,"Hazelton, M",,
Ingleborough Cave,-2.3779861,54.13425,SD75407100,Crustacea:Amphipoda,,Gammaridae,,,Gammarus pulex,BR1:9,Graham S. Proudlove,94,Aquatic habitat,DZ,Eutroglophile,Cave Yorkshire Dales,NLGM,"Hazelton, M",,
Sidcot Swallet,-2.7541951,51.321193,ST47545828,Arachnida:Acari,Mesostigmata,Parasitidae,,,Eugamasus loricatus,BR1:9,Graham S. Proudlove,95,Terrestrial habitat,DZ,Eutroglophile,Cave Mendip Hills,,"Hazelton, M",,
Goatchurch Cavern,-2.7536123,51.320657,ST47585822,Arachnida:Acari,Mesostigmata,Parasitidae,,,Eugamasus magnus,BR1:9,Graham S. Proudlove,96,Terrestrial habitat,DZ,Eutroglophile,Cave Mendip Hills,,"Hazelton, M",Fauna Europaea 2.4,
Dan-Yr-Ogof,-3.6873907,51.830494,SN83821600,Crustacea:Isopoda,Isopoda,Asellidae,,,Proasellus cavaticus,BR1:9,Graham S. Proudlove,97,Aquatic habitat,DZ,Troglobiont,Cave South Wales,,"Hazelton, M",,
Eastwater Cavern,-2.6622304,51.252871,ST53885062,Insecta:Coleoptera,Polyphaga,Staphylinidae,Oxytelinae,Thinobiini,Ochthephilus aureus,BR1:10,Graham S. Proudlove,105,Terrestrial habitat,DZ,Eutroglophile,Cave Mendip Hills,,"Hazelton, M",,
Eastwater Cavern,-2.6622304,51.252871,ST53885062,Insecta:Coleoptera,Polyphaga,Staphylinidae,Omaliinae,Anthophagini,Lesteva pubescens,BR1:10,Graham S. Proudlove,106,Terrestrial habitat,DZ,Eutroglophile,Cave Mendip Hills,,"Hazelton, M",,
Eastwater Cavern,-2.6622304,51.252871,ST53885062,Insecta:Diptera,,Trichoceridae,,,Trichocera maculipennis,BR1:10,Graham S. Proudlove,107,Terrestrial habitat,DZ,Eutroglophile,Cave Mendip Hills,,"Hazelton, M",,
Penderyn Quarry Cave,-3.5106326,51.769956,SN95860900,Insecta:Diptera,,Trichoceridae,,,Trichocera maculipennis,BR1:10,Graham S. Proudlove,108,Terrestrial habitat,Th,Eutroglophile,Cave South Wales,,"Hazelton, M",,
Ogof Pwll Swnd,-3.7984798,51.850338,SN76221839,Insecta:Diptera,,Mycetophilidae,Sciophilinae,Gnoristini,Speolepta leptogaster,BR1:10,Graham S. Proudlove,109,Terrestrial habitat,DZ,Eutroglophile,Cave South Wales,,"Hazelton, M",,
